epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,20129.2,1.29655,1.03493,0.01934,0.91433,0.83249,0.91535,0.63759,1.1343,0.59436,0.01899,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,20475.4,1.29372,1.02618,0.01925,0.90729,0.83998,0.91573,0.63873,1.13162,0.59206,0.01897,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,20820.2,1.29418,1.01269,0.01919,0.91042,0.83938,0.91616,0.63993,1.12738,0.591,0.0189,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,21166.6,1.26825,1.0149,0.01881,0.91247,0.83852,0.9161,0.64117,1.12611,0.5873,0.0189,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,21512,1.26178,1.00095,0.01879,0.91548,0.8361,0.91643,0.64314,1.12191,0.58642,0.01884,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,21857.5,1.25525,0.98252,0.01867,0.91233,0.84262,0.91707,0.64386,1.11718,0.58518,0.01876,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,22201.4,1.24271,0.99001,0.01825,0.91111,0.84372,0.91788,0.64568,1.1148,0.58112,0.01873,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,22546.9,1.23898,0.97118,0.01833,0.91763,0.8389,0.9181,0.64718,1.11138,0.57789,0.01866,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,22890,1.2375,0.96015,0.01824,0.92084,0.83832,0.91931,0.64867,1.10754,0.57681,0.01858,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,23233.2,1.22002,0.96338,0.01808,0.91436,0.84669,0.92008,0.65007,1.10452,0.57615,0.01852,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,23576.3,1.21118,0.93758,0.01771,0.91421,0.84615,0.92005,0.65063,1.10061,0.57589,0.01844,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,23920.4,1.20749,0.93373,0.01769,0.91424,0.84993,0.92085,0.65231,1.0978,0.57199,0.0184,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,24264.6,1.19479,0.92065,0.01753,0.91844,0.84615,0.92082,0.65271,1.0961,0.56947,0.01836,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,24609.4,1.19727,0.91086,0.01755,0.92115,0.84615,0.92189,0.65478,1.0936,0.56721,0.01832,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,24948.4,1.18845,0.90516,0.01739,0.92057,0.84459,0.92228,0.65595,1.08984,0.56638,0.01825,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,25293.2,1.17518,0.90082,0.01721,0.91414,0.84831,0.92217,0.6572,1.08663,0.56569,0.01818,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,25639.4,1.16063,0.89005,0.01695,0.92384,0.84453,0.92241,0.65853,1.08357,0.5627,0.01813,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,25983.8,1.16193,0.88865,0.01691,0.91521,0.85047,0.92267,0.66013,1.07968,0.56056,0.01805,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,26328.5,1.14866,0.88042,0.01689,0.91873,0.85101,0.92407,0.66168,1.07582,0.55724,0.01798,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,26675,1.14752,0.8769,0.01659,0.91605,0.85236,0.92393,0.66253,1.07307,0.55769,0.01791,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,27021.7,1.14868,0.87036,0.01663,0.91806,0.85263,0.92483,0.66464,1.07002,0.5531,0.01785,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,27366.5,1.14339,0.87019,0.01668,0.91748,0.8523,0.9246,0.66553,1.06653,0.55122,0.01779,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,27710.9,1.12563,0.84873,0.01631,0.90541,0.8637,0.92533,0.66709,1.06253,0.54937,0.01773,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,28058.1,1.1185,0.85017,0.01628,0.90803,0.86604,0.92598,0.66839,1.05952,0.54448,0.01767,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,28403.2,1.11277,0.85067,0.01607,0.90602,0.87018,0.92676,0.6706,1.05681,0.53944,0.01763,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,28748.6,1.10854,0.82798,0.01611,0.92605,0.85263,0.92754,0.6718,1.05357,0.53631,0.01756,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,29093,1.10211,0.83349,0.01595,0.92494,0.85182,0.92725,0.6721,1.05161,0.53539,0.01753,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
