epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,16919.4,0.60483,0.36961,0.96648,0.96356,0.93707,0.9804,0.86619,0.60582,0.31451,0.9671,0.003466,0.003466,0.003466
68,17176.6,0.6045,0.37096,0.97284,0.96422,0.93726,0.98071,0.86675,0.6049,0.31492,0.9702,0.003367,0.003367,0.003367
69,17436.2,0.598,0.36644,0.96325,0.96525,0.93639,0.98095,0.86806,0.60332,0.31314,0.96628,0.003268,0.003268,0.003268
70,17694.2,0.59535,0.36478,0.96475,0.96364,0.93872,0.98094,0.86863,0.60223,0.31184,0.96709,0.003169,0.003169,0.003169
71,17946.3,0.59093,0.36191,0.96173,0.96456,0.93924,0.98138,0.8692,0.60081,0.31066,0.96477,0.00307,0.00307,0.00307
72,18194.3,0.5889,0.35908,0.96235,0.96658,0.93843,0.98156,0.86954,0.60033,0.30931,0.96635,0.002971,0.002971,0.002971
73,18443.4,0.58903,0.35672,0.96011,0.96596,0.93994,0.98166,0.87017,0.59872,0.30723,0.96468,0.002872,0.002872,0.002872
74,18699.7,0.58946,0.35722,0.95738,0.96683,0.93934,0.98183,0.8708,0.59756,0.30667,0.96136,0.002773,0.002773,0.002773
75,18950.7,0.58581,0.35574,0.96045,0.96588,0.94093,0.98207,0.87149,0.59576,0.30546,0.96105,0.002674,0.002674,0.002674
76,19201.3,0.58617,0.35295,0.95593,0.96749,0.94063,0.98212,0.8721,0.59458,0.30439,0.95914,0.002575,0.002575,0.002575
77,19464,0.58436,0.3516,0.95669,0.96707,0.94168,0.98211,0.87256,0.59417,0.30365,0.95786,0.002476,0.002476,0.002476
78,19714.8,0.57877,0.34746,0.95497,0.96734,0.94212,0.98213,0.87302,0.59278,0.30285,0.95693,0.002377,0.002377,0.002377
79,19967.7,0.57687,0.34713,0.95514,0.96736,0.94232,0.9822,0.8739,0.59208,0.3024,0.95733,0.002278,0.002278,0.002278
80,20220.7,0.57371,0.3423,0.95272,0.96987,0.94153,0.98237,0.87425,0.59158,0.30242,0.95788,0.002179,0.002179,0.002179
81,20474.6,0.5736,0.34211,0.94808,0.96896,0.9422,0.9824,0.8745,0.59117,0.30135,0.95631,0.00208,0.00208,0.00208
82,20732.1,0.57134,0.34042,0.94619,0.96931,0.94296,0.98257,0.87497,0.59102,0.30085,0.95452,0.001981,0.001981,0.001981
83,20985.2,0.56882,0.33744,0.9476,0.96853,0.94409,0.9828,0.87511,0.59014,0.30029,0.95323,0.001882,0.001882,0.001882
84,21238.5,0.56866,0.33731,0.94869,0.9685,0.94462,0.98268,0.87542,0.58945,0.29963,0.95268,0.001783,0.001783,0.001783
85,21492.3,0.56521,0.33406,0.94662,0.96838,0.94512,0.98273,0.87568,0.58869,0.29869,0.95186,0.001684,0.001684,0.001684
86,21741.9,0.56262,0.33359,0.94755,0.96852,0.94554,0.98295,0.87603,0.58794,0.29874,0.95134,0.001585,0.001585,0.001585
87,21987.8,0.56427,0.33375,0.94752,0.96872,0.94594,0.98302,0.87665,0.58711,0.29826,0.95143,0.001486,0.001486,0.001486
88,22235.3,0.55591,0.3276,0.94345,0.96874,0.94593,0.98299,0.87682,0.58677,0.29819,0.95157,0.001387,0.001387,0.001387
89,22486.8,0.55881,0.32961,0.94163,0.96822,0.94631,0.98314,0.87698,0.58631,0.29763,0.95112,0.001288,0.001288,0.001288
90,22739.6,0.54925,0.32287,0.94034,0.96912,0.94563,0.98318,0.87712,0.58589,0.29718,0.95092,0.001189,0.001189,0.001189
91,22987.4,0.51025,0.2778,0.91745,0.96922,0.94567,0.98333,0.87744,0.58551,0.29671,0.95092,0.00109,0.00109,0.00109
92,23248,0.50607,0.27167,0.91577,0.96941,0.94597,0.98343,0.8781,0.58489,0.29626,0.95097,0.000991,0.000991,0.000991
93,23496.1,0.50127,0.27017,0.9142,0.96964,0.94608,0.98355,0.87858,0.58437,0.29545,0.95098,0.000892,0.000892,0.000892
94,23743.5,0.49921,0.26646,0.90852,0.96962,0.94612,0.98358,0.87888,0.58387,0.29476,0.95061,0.000793,0.000793,0.000793
95,23990,0.49607,0.26417,0.91023,0.97049,0.94612,0.9837,0.87927,0.58312,0.29387,0.95024,0.000694,0.000694,0.000694
96,24236.1,0.49342,0.26436,0.91348,0.97155,0.9453,0.98369,0.87972,0.58255,0.29333,0.95028,0.000595,0.000595,0.000595
97,24482.6,0.49024,0.26039,0.90643,0.97112,0.94599,0.98382,0.88001,0.58207,0.29263,0.95014,0.000496,0.000496,0.000496
98,24729.2,0.48841,0.25828,0.90429,0.97104,0.94665,0.98394,0.88039,0.58162,0.29212,0.94981,0.000397,0.000397,0.000397
99,24977.9,0.4845,0.25554,0.90281,0.97121,0.94708,0.984,0.88063,0.58115,0.29166,0.94934,0.000298,0.000298,0.000298
100,25228.4,0.48155,0.25369,0.90237,0.97132,0.94689,0.98403,0.8809,0.58067,0.29112,0.94909,0.000199,0.000199,0.000199
